,username,screen_name,date,tweet,hashtags
0,piero martinez,@pierom1228,2020-09-12 00:48:36,"RT @RevistaSemana: “No va a haber una sola marcha pacífica en Bogotá, no existe esa posibilidad. Que Claudia López las prohiba todas”. Esta…",[]
1,Leonardo Jmz 🛸,@Kenny_Dolph,2020-09-12 00:48:35,"RT @ChalecosAmarill: 🎥🛑En #Colombia al menos 13 personas ASESINADAS dejaron las protestas la noche del 9 de septiembre, a esto hay que suma…","[{'text': 'Colombia', 'indices': [26, 35]}]"
2,Hernán Velásquez R.,@VelsquezR,2020-09-12 00:48:35,"RT @elcuchoanticom: Buenas tardes.
Estos ""TERRORISTAS""fueron enviados desde ""BOGOTÁ"" a CARTAGENA por la CRIMINAL izquierda, con el objetivo…",[]
3,MICHEL CABALLERO,@MichelCaballero,2020-09-12 00:48:35,"De cómo @NTN24ve le dió la vuelta a la arepa. Para este medio de incomunicación, la policía de Bogotá paso de victi… https://t.co/mTt1nVly5Z",[]
4,Li Pedraza,@Licaperuza,2020-09-12 00:48:34,RT @josiasfiesco: Las multimillonarias pérdidas de los actos vandálicos en Bogotá https://t.co/e0ZicQLlO3,[]
5,David F. Salazar,@dfsb98,2020-09-12 00:48:34,RT @heidy_up: Ni @GustavoBolivar se hubiera escrito semejante novelón. Pretenden iniciar una cacería de brujas para criminalizar la protest…,[]
6,Manu Aguilar,@manuaguilar3,2020-09-12 00:48:34,"RT @petrogustavo: Las centrales obreras deben reunirse ta y convocar a paro nacional contra la represión.

Le pido a losnmovinientos social…",[]
7,Babies Forever Col,@BabiesCol,2020-09-12 00:48:34,RT @jarizabaletaf: Bogotá no eligió una alcaldesa sino a una activista del Petrismo #PetroYClaudiaSonLoMismo,"[{'text': 'PetroYClaudiaSonLoMismo', 'indices': [84, 108]}]"
8,Martha de Moreno,@marthagdemoreno,2020-09-12 00:48:33,RT @CGurisattiNTN24: PRIMICIA! en @LaNocheNTN24 Policías víctimas de los violentos ataques criminales en Bogotá narran los momentos de angu…,[]
9,Ultimabola,@Ultimabola1,2020-09-12 00:48:33,"RT @NoticiasRCN: En suba rincón, #Bogotá, la comunidad se volcó al rededor del CAI de policía, pero esta vez para limpiar los destrozos que…","[{'text': 'Bogotá', 'indices': [33, 40]}]"
10,Charly,@JSmthi,2020-09-12 00:48:33,@Yefer_Vega @personeriabta @ContraloriaBta @ConcejoDeBogota @VeeduriaBogota @GobiernoBTA @Bogota @ClaudiaLopez… https://t.co/b1RywFyxFh,[]
11,jct,@buque09,2020-09-12 00:48:33,"RT @petrogustavo: El Congreso de la República en su virtualidad impuesta e ilegal ha dejado de existir.

Solo queda el pueblo en las calles…",[]
12,sandra patricia,@sandrapaty72,2020-09-12 00:48:32,RT @NoticiasCaracol: Habitantes de Bogotá crearon escudos humanos para defender a policías &gt;&gt;&gt; https://t.co/urSxH4zx6q https://t.co/21uSmLw…,[]
13,Leonardo Fabio López Gutiérrez,@Leonard75239950,2020-09-12 00:48:32,"RT @IvanCepedaCast: Llaman la atención los patrones bajo los que actúo la policía en toda la ciudad de Bogotá, lo que hace pensar que obrar…",[]
14,Telemedellín,@Telemedellin,2020-09-12 00:48:32,#NoticiasTM Las jornadas de protesta en Antioquia en rechazo al procedimiento policial sucedido en Bogotá han estad… https://t.co/A8pFlXFUxk,"[{'text': 'NoticiasTM', 'indices': [0, 11]}]"
15,elespectador,@elespectador,2020-09-12 00:48:32,RT @EspectadorVideo: #EnVivo Claudia López hace un llamado a la calma en Bogotá en medio de protestas por abuso policial https://t.co/oMsbu…,"[{'text': 'EnVivo', 'indices': [21, 28]}]"
16,Aura Violeta Olmos,@auradeustua,2020-09-12 00:48:32,RT @ISB_VE: #Pronunciamiento: Instituto Simón Bolívar para la Paz y la Solidaridad entre los Pueblos condena situación de violencia en Bogo…,"[{'text': 'Pronunciamiento', 'indices': [12, 28]}]"
17,Jorge Ruiz,@JorgeRu38310335,2020-09-12 00:48:31,RT @ChalecosAmarill: 🛑🎥 #Colombia ⚠️ presente en Noruega 🇳🇴 manifestación con ataúdes de cartón en repudio a las masacres en Bogotá por la…,"[{'text': 'Colombia', 'indices': [24, 33]}]"
18,Michael Andrés,@Michael_Amr,2020-09-12 00:48:31,RT @AnonNews_Col: Unión Europea y naciones unidas piden que se investiguen los hechos de violencia en #Bogotá https://t.co/gH91CjMVjR,"[{'text': 'Bogotá', 'indices': [102, 109]}]"
19,MilenaDDHH,@DdhhMilena,2020-09-12 00:48:31,"RT @JUAN_GAMMA: @IvanCepedaCast @Winchester_Musk @IvanCepedaCast curioso no sólo fue en Bogotá, fué en todo el país, ¿Quién dio la orden?",[]
20,Michelle,@Michell08478405,2020-09-12 00:48:31,"RT @angelamrobledo: Pte @IvanDuque llama vidas enceguecidas"" a quienes fueron asesinados anoche en Bogota.Otro eufemismo para ocultar la gr…",[]
21,luckygato,@Luckygato,2020-09-12 00:48:30,RT @MariaFdaCabal: La alcaldesa de Bogotá autoriza para HOY 17 concentraciones alrededor de los Cai y en las estaciones de policía. La seño…,[]
22,Wilson Ruiz Ruiz,@WilsonRuizRuiz2,2020-09-12 00:48:29,@kroarbelaez @ClaudiaLopez @PoliciaBogota @manolitosalazar @PachoAlerta @Bogota @PoliciaColombia @mindefensa… https://t.co/ykfJJ6ak7v,[]
23,ADELA PATRICIA CASTRO,@ADELACASTROM,2020-09-12 00:48:29,RT @AndresPastrana_: Señora alcaldesa @ClaudiaLopez: ¿es cierto que en los actos vandálicos de los últimos dias en Bogotá hay extranjeros i…,[]
24,Colombia Informa,@Col_Informa,2020-09-12 00:48:28,"#11S✊| En estos momentos desde el Park Way en Bogotá, nos reportan gran cantidad de personas que se manifiestan con… https://t.co/OXhZIWLETT","[{'text': '11S', 'indices': [0, 4]}]"
25,Reflexivo77,@reflexivo77,2020-09-12 00:48:28,"RT @Horadelaverdad: #ElEditorial @FlondonoHoyos: ""Para posesionarse, la señora alcaldesa de Bogotá, tuvo que prestar juramento de defender…","[{'text': 'ElEditorial', 'indices': [20, 32]}]"
26,Lilia  Piedad Vallej,@lilipiedadvalle,2020-09-12 00:48:28,"RT @ginamonteli: Son 13 muertos en 3 días. No uno. Deben pedir perdón por los 13, deben renunciar el ministro y la cúpula de la Policía en…",[]
27,Alonso Arce,@BravaArce,2020-09-12 00:48:28,RT @jennymarcela03: Compañeros mi abuela de 84 años con Alzheimer se perdió en las inmediaciones de Plaza de las Américas en #Bogotá hace m…,"[{'text': 'Bogotá', 'indices': [125, 132]}]"
28,Rocío Roca,@RocioRoca22,2020-09-12 00:48:28,RT @jennymarcela03: Compañeros mi abuela de 84 años con Alzheimer se perdió en las inmediaciones de Plaza de las Américas en #Bogotá hace m…,"[{'text': 'Bogotá', 'indices': [125, 132]}]"
29,Oscar Rios,@Biciartedanzar,2020-09-12 00:48:27,"RT @petrogustavo: El Congreso de la República en su virtualidad impuesta e ilegal ha dejado de existir.

Solo queda el pueblo en las calles…",[]
30,Marcela Combariza,@LaRamonaSoy,2020-09-12 00:48:27,RT @ActualidadRT: Denuncian con videos a policías de Bogotá que dispararon contra la ciudadanía https://t.co/9SG93RuC9d,[]
31,desobediencia cívil,@Maritza_2304,2020-09-12 00:48:27,"RT @IvanCepedaCast: Llaman la atención los patrones bajo los que actúo la policía en toda la ciudad de Bogotá, lo que hace pensar que obrar…",[]
32,STEEVE,@STEEVERELOADED,2020-09-12 00:48:27,RT @MariaFdaCabal: La alcaldesa de Bogotá autoriza para HOY 17 concentraciones alrededor de los Cai y en las estaciones de policía. La seño…,[]
33,Angie Lozano,@paolalozano24,2020-09-12 00:48:26,RT @DonIzquierdo_: ESMAD reprime marcha pacífica en el Centro de Bogotá. Siguen silenciando a quienes protestan por el respeto a la vida. h…,[]
34,Perensejo de las Nieves,@JavierEMarino,2020-09-12 00:48:26,"RT @CarlosFGalan: El uso de armas de fuego por parte de los policías debe ser la excepción, solo cuando sea estrictamente necesario. Eso no…",[]
35,LuisFajardoB,@LuisFajardoB1,2020-09-12 00:48:25,RT @DonIzquierdo_: ESMAD reprime marcha pacífica en el Centro de Bogotá. Siguen silenciando a quienes protestan por el respeto a la vida. h…,[]
36,Elkin Huertas Carrasquilla.,@ELKINHUERTASC,2020-09-12 00:48:24,"RT @AForeroM: “El Norte se une o se quema!” 

“Resistimos, las balas que disparaste van a volver”

¿Qué opina @ClaudiaLopez de estas inquie…",[]
37,JDNF,@Octimospray1971,2020-09-12 00:48:24,"RT @ELTIEMPO: Un menor de 17 años, una joven estudiante de 18 años, un vigilante, un domiciliario, un ingeniero... Son 11 vidas las que se…",[]
38,Meibi Elizabeth Ojeda B,@meojedab,2020-09-12 00:48:24,"RT @CarlosFGalan: El uso de armas de fuego por parte de los policías debe ser la excepción, solo cuando sea estrictamente necesario. Eso no…",[]
39,El Espectador Video,@EspectadorVideo,2020-09-12 00:48:23,#EnVivo Claudia López hace un llamado a la calma en Bogotá en medio de protestas por abuso policial… https://t.co/RZ1PCPPWcb,"[{'text': 'EnVivo', 'indices': [0, 7]}]"
40,BOGOTÁ.,@MuerteAlVegano,2020-09-12 00:48:22,"/ Aprovecho eso para decir que:

Yo quiero que la amistad que tienen Palermo y Bogotá se quiebre por culpa de la mu… https://t.co/cJ1RTiIMPt",[]
41,Dav,@publichibcha,2020-09-12 00:48:22,"RT @TweetJaramillo: El abogado  de Bogotá: “el borracho""

Dylan Cruz: “el vándalo""

Las niñas indígenas:  “las ofrecidas""

Los 4 mil falsos…",[]
42,Francisco Sanchez,@gudaris,2020-09-12 00:48:22,"RT @Mision_Verdad: Gravemente herido quedó un joven en #Colombia luego de ser arrollado, golpeado y pateado por la policía en Bogotá https:…","[{'text': 'Colombia', 'indices': [55, 64]}]"
43,Jorge Eduardo Rojas,@jorge_rojas_a,2020-09-12 00:48:22,"RT @IvanCepedaCast: Llaman la atención los patrones bajo los que actúo la policía en toda la ciudad de Bogotá, lo que hace pensar que obrar…",[]
44,Geral,@Geral_0420,2020-09-12 00:48:21,RT @ChalecosAmarill: 🛑🎥 #Colombia ⚠️ presente en Noruega 🇳🇴 manifestación con ataúdes de cartón en repudio a las masacres en Bogotá por la…,"[{'text': 'Colombia', 'indices': [24, 33]}]"
45,Radic350,@radic350,2020-09-12 00:48:21,RT @Citytv: 🚨 ¡Ojo! Recuerde que el sistema de transporte masivo TransMilenio cerrará anticipadamente su servicio la noche de este viernes…,[]
46,Juan Esteban Trochez,@JuanEstebanTro4,2020-09-12 00:48:21,RT @DonIzquierdo_: ESMAD reprime marcha pacífica en el Centro de Bogotá. Siguen silenciando a quienes protestan por el respeto a la vida. h…,[]
47,Luz Omayra,@LuzO_,2020-09-12 00:48:21,"RT @oramirezvahos: Lanzamos un S.O.S., por los CAI en Bogotá. 🚨🚨🚨
No permitamos que los sigan destruyendo y dejen desprotegidas a las comun…",[]
48,🐝 Jairo Viteri 🐝,@jairomarvit,2020-09-12 00:48:21,RT @ActualidadRT: Denuncian con videos a policías de Bogotá que dispararon contra la ciudadanía https://t.co/mFlBgAPskt,[]
